frame_idx,frame_name,gt_valid_pixels,alignment_mode,scale,shift,valid_pixels,abs_rel,d_rmse,local_pair_count,sparse_order_acc,sparse_order_pairs,local_residual_consistency,local_residual_pairs,sparse_lidar_dq
0,001146,17331,l2_scale,0.10279443888237914,0.0,17274,0.26508378982543945,4.7753705978393555,20000,0.9135476170176485,11729,0.0767725672881359,9217,0.8460368639621014
1,001151,17325,l2_scale,0.10279443888237914,0.0,17269,0.25904330611228943,5.016619682312012,20000,0.9053459651497209,11822,0.09393471800117878,9048,0.8241746279509409
2,001156,17206,l2_scale,0.10279443888237914,0.0,17124,0.2696646451950073,4.614259243011475,20000,0.8920199100834939,12456,0.0869537201319597,8494,0.8177320640785942
3,001161,17104,l2_scale,0.10279443888237914,0.0,17021,0.24561725556850433,4.673332691192627,20000,0.895748987854251,11856,0.09010854548360829,8998,0.8185640779190512
4,001166,17238,l2_scale,0.10279443888237914,0.0,17159,0.24412338435649872,4.457552433013916,20000,0.9150143973673386,12155,0.08363503973962913,8634,0.8415999312045453
5,001171,16937,l2_scale,0.10279443888237914,0.0,16858,0.23579807579517365,4.493090629577637,20000,0.9005939902166318,11448,0.0738996916209498,9290,0.8364400440948655
6,001176,17204,l2_scale,0.10279443888237914,0.0,16992,0.325764536857605,5.133883476257324,20000,0.8975304407477277,11662,0.08311772679083092,8951,0.8259459291196566
7,001181,17011,l2_scale,0.10279443888237914,0.0,16913,0.21652927994728088,4.238717079162598,20000,0.9197530864197531,10692,0.05711362248955567,9853,0.8686946018626605
8,001186,17313,l2_scale,0.10279443888237914,0.0,17229,0.21197813749313354,4.14750862121582,20000,0.927327277273106,11999,0.06255380468209938,8651,0.8710964874431147
9,001191,17126,l2_scale,0.10279443888237914,0.0,17048,0.22363631427288055,3.5935516357421875,20000,0.9493977919036467,11956,0.05576806255038232,8801,0.8979010004914711
10,001196,16976,l2_scale,0.10279443888237914,0.0,16864,0.2331828773021698,3.9917657375335693,20000,0.9376370493816332,11401,0.065505174152278,9324,0.8781854227804866
11,001201,17045,l2_scale,0.10279443888237914,0.0,16938,0.21065138280391693,3.9915497303009033,20000,0.9339024819574019,11362,0.06035167810660028,9322,0.8792069831112237
12,001206,17013,l2_scale,0.10279443888237914,0.0,16888,0.20764818787574768,4.138920783996582,20000,0.9238583087341552,11518,0.05861187918993798,9188,0.8712655720710698
13,001211,16972,l2_scale,0.10279443888237914,0.0,16811,0.25303447246551514,4.8841071128845215,20000,0.9015993494171862,11067,0.07857646542676855,9516,0.83346672194386
14,001216,16997,l2_scale,0.10279443888237914,0.0,16853,0.23634113371372223,4.407314777374268,20000,0.9230422636748671,11097,0.07599147678954261,9418,0.8554978208700247
15,001221,16863,l2_scale,0.10279443888237914,0.0,16737,0.25785180926322937,4.883029460906982,20000,0.9112365315546435,11694,0.0993437096306691,8871,0.8250622131712335
16,001226,16868,l2_scale,0.10279443888237914,0.0,16730,0.2633240818977356,4.634047031402588,20000,0.9166520133638122,11374,0.09074634765546999,9218,0.8371318364575792
17,001231,16740,l2_scale,0.10279443888237914,0.0,16600,0.23587431013584137,4.475081920623779,20000,0.9124803404570265,10809,0.08374367580666507,9726,0.839178019651942
18,001236,17106,l2_scale,0.10279443888237914,0.0,16941,0.2397967427968979,4.210683345794678,20000,0.9157833879360185,10378,0.07259654128181542,10067,0.8516565364971521
19,001241,16790,l2_scale,0.10279443888237914,0.0,16641,0.2243882119655609,4.20534086227417,20000,0.9222023865451471,10643,0.07655249123402089,9738,0.854240027050157
20,001246,16865,l2_scale,0.10279443888237914,0.0,16646,0.2674105167388916,4.848969459533691,20000,0.8838746223564955,10592,0.11236558708934201,9850,0.7899341879322499
21,001251,16858,l2_scale,0.10279443888237914,0.0,16643,0.25259605050086975,4.772509574890137,20000,0.8880562916933199,10943,0.11356143774820882,9568,0.7927228736395368
22,001256,16438,l2_scale,0.10279443888237914,0.0,16169,0.2843427360057831,5.42909049987793,20000,0.8577892122072391,11272,0.14210426118525946,9220,0.744158563196698
23,001261,16635,l2_scale,0.10279443888237914,0.0,16323,0.2973153293132782,5.688259601593018,20000,0.8533944954128441,10900,0.15909067483622835,9495,0.7278763942862455
24,001266,16369,l2_scale,0.10279443888237914,0.0,16096,0.310027152299881,5.787611961364746,20000,0.8462889361308809,10819,0.16053864363911646,9575,0.7207715170218444
25,001271,16762,l2_scale,0.10279443888237914,0.0,16432,0.2659667432308197,4.991552352905273,20000,0.8983142522311367,11093,0.11682354353818804,9245,0.7992680811674967
26,001276,16610,l2_scale,0.10279443888237914,0.0,16391,0.21805733442306519,3.467151641845703,20000,0.9499497671020184,10949,0.05358126935813346,9363,0.9003898508124502
27,001281,16545,l2_scale,0.10279443888237914,0.0,16317,0.20585031807422638,3.4372289180755615,20000,0.9591260124317197,10618,0.05407494444775107,9675,0.9086386783830718
28,001286,16217,l2_scale,0.10279443888237914,0.0,15880,0.2788107991218567,5.02273416519165,20000,0.9033439336995278,10377,0.10710024649672002,9913,0.8115963521998711
29,001291,16129,l2_scale,0.10279443888237914,0.0,15773,0.2859317362308502,4.7287397384643555,20000,0.9057862107833928,10646,0.1215983673346392,9669,0.8020772624334336
30,001296,16488,l2_scale,0.10279443888237914,0.0,16179,0.3117043077945709,5.201498508453369,20000,0.8877679697351829,9516,0.1172968050441198,10782,0.7895108752522759
31,001301,16223,l2_scale,0.10279443888237914,0.0,15958,0.1915196180343628,3.340067148208618,20000,0.9573468988456271,10222,0.051934766898510905,10006,0.9088963348497304
32,001306,16322,l2_scale,0.10279443888237914,0.0,15952,0.2805427312850952,4.980935573577881,20000,0.8982508745627187,10005,0.11597155126644626,10307,0.7998929037197906
33,001311,16245,l2_scale,0.10279443888237914,0.0,15988,0.27066659927368164,4.277544021606445,20000,0.9241276171485543,10030,0.09223182187112476,10234,0.8427061780691754
34,001316,15800,l2_scale,0.10279443888237914,0.0,15403,0.21078450977802277,4.32136344909668,20000,0.9285060417429513,10924,0.08577427169069593,9414,0.8521841279296518
35,001321,16027,l2_scale,0.10279443888237914,0.0,15482,0.24944652616977692,4.647731781005859,20000,0.9107159746524165,10573,0.10276142201625266,9837,0.8217774805431478
36,001326,15892,l2_scale,0.10279443888237914,0.0,15342,0.32989877462387085,5.67483377456665,20000,0.8684384753617705,10573,0.15797614446949518,9875,0.7415336923093091
37,001331,16141,l2_scale,0.10279443888237914,0.0,15717,0.21663442254066467,4.300689220428467,20000,0.9238709677419354,10850,0.0806781763513307,9522,0.8522622121653189
38,001336,15833,l2_scale,0.10279443888237914,0.0,15390,0.24003556370735168,4.448106288909912,20000,0.922285504317472,10886,0.08837940820069402,9491,0.8442725973014932
39,001341,16162,l2_scale,0.10279443888237914,0.0,15760,0.24767827987670898,4.736790180206299,20000,0.9025863696431943,10594,0.10074320299264682,9780,0.8160871763916409
