frame_idx,frame_name,gt_valid_pixels,alignment_mode,scale,shift,valid_pixels,abs_rel,d_rmse,local_pair_count,sparse_order_acc,sparse_order_pairs,local_residual_consistency,local_residual_pairs,sparse_lidar_dq
0,000412,19581,l2_scale,0.13852958853330458,0.0,19038,0.22403684258460999,2.260934829711914,20000,0.646142613774641,4109,0.06506780232642559,16001,0.6054381685618346
1,000414,19624,l2_scale,0.13852958853330458,0.0,19624,0.24527381360530853,2.5869789123535156,20000,0.6437817845584836,4326,0.08317326112850452,15818,0.5924026547330261
2,000416,19598,l2_scale,0.13852958853330458,0.0,19082,0.2687866687774658,2.4947805404663086,20000,0.6400241290906349,6631,0.09792754091904987,13576,0.5803192228902369
3,000418,19441,l2_scale,0.13852958853330458,0.0,18902,0.2905900180339813,2.650564432144165,20000,0.6450907219148114,7771,0.08360781102433476,12391,0.5933492321468049
4,000420,19387,l2_scale,0.13852958853330458,0.0,18893,0.3165934681892395,2.747267961502075,20000,0.5981531776208582,9205,0.06364886639960429,10955,0.5612677164509733
5,000422,19211,l2_scale,0.13852958853330458,0.0,18725,0.3538875877857208,2.6724398136138916,20000,0.5215835140997831,9220,0.05207256424742494,10977,0.49511835720973046
6,000424,19329,l2_scale,0.13852958853330458,0.0,18625,0.34919631481170654,2.541759490966797,20000,0.5669876491521876,9554,0.06327342313644521,10589,0.5322238106338005
7,000426,19390,l2_scale,0.13852958853330458,0.0,18607,0.37852942943573,2.613950252532959,20000,0.598202396804261,9012,0.06466740485856609,11114,0.5607424717702626
8,000428,19469,l2_scale,0.13852958853330458,0.0,18587,0.35180801153182983,2.6926686763763428,20000,0.5838381764041483,9739,0.06398640072911467,10412,0.5476505759818873
9,000430,19256,l2_scale,0.13852958853330458,0.0,18462,0.35529303550720215,2.485346794128418,20000,0.5941497052608163,8991,0.05756470166002342,11138,0.5609134496979499
10,000432,19319,l2_scale,0.13852958853330458,0.0,18598,0.36790895462036133,2.281954050064087,20000,0.5720711510938459,9782,0.06824040554244534,10364,0.5343349920050615
