frame_idx,frame_name,gt_valid_pixels,alignment_mode,scale,shift,valid_pixels,abs_rel,d_rmse,sigma_status,sigma_input_pixels,sigma_kept_pixels,sigma_keep_ratio,sigma_residual_mean,sigma_residual_std,local_pair_count,sparse_order_acc,sparse_order_pairs,local_residual_consistency,local_residual_pairs,sparse_lidar_dq
0,000148,36501,l2_scale,0.19851041747772946,0.0,35300,0.2175895720720291,5.634980201721191,ok,36501,35300,0.9670967918687159,-0.05449520740774237,0.46388569708511107,20000,0.7788461538461539,15184,0.12793683155958208,5465,0.6853137091262917
1,000149,37204,l2_scale,0.19851041747772946,0.0,35921,0.2146618813276291,5.559756755828857,ok,37204,35921,0.9655144608106655,-0.05449520740774237,0.46388569708511107,20000,0.7857465333763303,15505,0.1421726456003461,5148,0.6816127069735936
2,000150,37367,l2_scale,0.19851041747772946,0.0,36323,0.2158273160457611,5.543035984039307,ok,37367,36323,0.9720609093585248,-0.05449520740774237,0.46388569708511107,20000,0.788056360284435,15188,0.13050346775454139,5521,0.6916403829699472
3,000151,37441,l2_scale,0.19851041747772946,0.0,36584,0.21369023621082306,5.649899005889893,ok,37441,36584,0.9771106540957774,-0.05449520740774237,0.46388569708511107,20000,0.7860941239032172,15044,0.12559881308682383,5602,0.6933103418511841
4,000152,37423,l2_scale,0.19851041747772946,0.0,36604,0.2155403196811676,5.695870399475098,ok,37423,36604,0.9781150629292147,-0.05449520740774237,0.46388569708511107,20000,0.7847867642212115,15171,0.1305657298170769,5454,0.6887279277504446
5,000153,37715,l2_scale,0.19851041747772946,0.0,36878,0.21910451352596283,5.578923225402832,ok,37715,36878,0.9778072384992709,-0.05449520740774237,0.46388569708511107,20000,0.7943362120907813,14937,0.1275971230998953,5757,0.69918102753567
6,000154,37782,l2_scale,0.19851041747772946,0.0,36856,0.2255226969718933,5.581374168395996,ok,37782,36856,0.9754909745381398,-0.05449520740774237,0.46388569708511107,20000,0.7902046783625731,15048,0.1307495599446822,5617,0.6933552114422342
7,000155,37822,l2_scale,0.19851041747772946,0.0,37046,0.23585793375968933,5.921168804168701,ok,37822,37046,0.9794828406747396,-0.05449520740774237,0.46388569708511107,20000,0.7713886857674666,15043,0.12767692006608486,5600,0.6789282544723708
8,000156,37067,l2_scale,0.19851041747772946,0.0,36551,0.2192230075597763,5.750176429748535,ok,37067,36551,0.9860792618771413,-0.05449520740774237,0.46388569708511107,20000,0.7887482605526472,15091,0.1354900691212423,5543,0.6888042611343493
9,000157,37405,l2_scale,0.19851041747772946,0.0,36811,0.22388043999671936,5.749837398529053,ok,37405,36811,0.9841197700842134,-0.05449520740774237,0.46388569708511107,20000,0.7804878048780488,15047,0.13618639199668717,5593,0.6811160638195927
10,000158,37689,l2_scale,0.19851041747772946,0.0,37097,0.23771215975284576,6.136854648590088,ok,37689,37097,0.9842924991376795,-0.05449520740774237,0.46388569708511107,20000,0.7523278733093183,14713,0.1396408077718106,5935,0.6542774015371638
11,000159,37705,l2_scale,0.19851041747772946,0.0,37108,0.22679945826530457,5.856112480163574,ok,37705,37108,0.9841665561596605,-0.05449520740774237,0.46388569708511107,20000,0.7825011697079072,14961,0.136275482857371,5715,0.6828122519111823
12,000160,37722,l2_scale,0.19851041747772946,0.0,37245,0.23514068126678467,5.848468780517578,ok,37722,37245,0.9873548592333387,-0.05449520740774237,0.46388569708511107,20000,0.7660193517829352,14779,0.13929721570200393,5868,0.6664134122953165
13,000161,37835,l2_scale,0.19851041747772946,0.0,37333,0.24405011534690857,6.00429105758667,ok,37835,37333,0.9867318620325096,-0.05449520740774237,0.46388569708511107,20000,0.7724197977362535,14931,0.1332784322576476,5685,0.6760383122910543
14,000162,37895,l2_scale,0.19851041747772946,0.0,37298,0.24645619094371796,6.019419193267822,ok,37895,37298,0.9842459427365088,-0.05449520740774237,0.46388569708511107,20000,0.7703830369357045,14620,0.13731789313619527,6022,0.6715375598091458
15,000163,37831,l2_scale,0.19851041747772946,0.0,37283,0.24509809911251068,5.874021530151367,ok,37831,37283,0.9855145251248976,-0.05449520740774237,0.46388569708511107,20000,0.7775075987841945,14805,0.1480311614297823,5838,0.6705258504256049
16,000164,37590,l2_scale,0.19851041747772946,0.0,36897,0.24358512461185455,5.9726996421813965,ok,37590,36897,0.9815642458100559,-0.05449520740774237,0.46388569708511107,20000,0.7812205941658825,14878,0.158419618506194,5715,0.6667651882754245
17,000165,37581,l2_scale,0.19851041747772946,0.0,36613,0.2522139251232147,6.287350177764893,ok,37581,36613,0.9742423032915569,-0.05449520740774237,0.46388569708511107,20000,0.7673929274417973,14733,0.14669789226274355,5955,0.6626858648612063
18,000166,37575,l2_scale,0.19851041747772946,0.0,36452,0.23866386711597443,6.040046215057373,ok,37575,36452,0.9701131071190952,-0.05449520740774237,0.46388569708511107,20000,0.7574203255368622,14622,0.13863544961841825,6041,0.6593687259180544
19,000167,37695,l2_scale,0.19851041747772946,0.0,36339,0.22872819006443024,5.757812023162842,ok,37695,36339,0.9640270592916832,-0.05449520740774237,0.46388569708511107,20000,0.7841110053054007,14702,0.1367213894623498,5889,0.683911969148787
20,000168,37372,l2_scale,0.19851041747772946,0.0,36013,0.22962509095668793,5.993607521057129,ok,37370,36013,0.9636874498260637,-0.05449520740774237,0.46388569708511107,20000,0.777602523659306,14582,0.14283532813299388,6025,0.674101147720411
21,000169,37306,l2_scale,0.19851041747772946,0.0,36496,0.2269774079322815,5.929210662841797,ok,37304,36496,0.9783401243834441,-0.05449520740774237,0.46388569708511107,20000,0.7755231452124287,14193,0.13479645718805808,6503,0.6777248438368786
22,000170,37949,l2_scale,0.19851041747772946,0.0,37287,0.22928670048713684,5.694369316101074,ok,37948,37287,0.9825814272161906,-0.05449520740774237,0.46388569708511107,20000,0.789390503676218,14553,0.13596277587773709,6100,0.689039333697375
23,000171,38818,l2_scale,0.19851041747772946,0.0,38104,0.2353958785533905,5.982927322387695,ok,38818,38104,0.9816064712246896,-0.05449520740774237,0.46388569708511107,20000,0.7786406432547591,14551,0.13992112274731966,6068,0.6769710511405332
24,000172,38585,l2_scale,0.19851041747772946,0.0,38181,0.23787546157836914,6.03066349029541,ok,38585,38181,0.9895296099520539,-0.05449520740774237,0.46388569708511107,20000,0.7813697484846374,14353,0.1358717397721363,6249,0.6821003089451615
25,000173,38981,l2_scale,0.19851041747772946,0.0,38481,0.24323837459087372,6.027726173400879,ok,38981,38481,0.9871732382442728,-0.05449520740774237,0.46388569708511107,20000,0.771432541336668,14394,0.14201243737006725,6313,0.6693029463884436
26,000174,39041,l2_scale,0.19851041747772946,0.0,38625,0.24148543179035187,5.832350254058838,ok,39041,38625,0.9893445352321918,-0.05449520740774237,0.46388569708511107,20000,0.7734114922564771,13818,0.1364457799272651,6810,0.674765658857253
27,000175,39153,l2_scale,0.19851041747772946,0.0,38776,0.24496467411518097,5.748939037322998,ok,39153,38776,0.990371108216484,-0.05449520740774237,0.46388569708511107,20000,0.7900639873463225,13909,0.12120126514353217,6781,0.6998826468825627
28,000176,39104,l2_scale,0.19851041747772946,0.0,38732,0.25561514496803284,6.0596604347229,ok,39104,38732,0.9904869067103109,-0.05449520740774237,0.46388569708511107,20000,0.7725473259915066,13893,0.1287550957309558,6805,0.6792153090598203
29,000177,39132,l2_scale,0.19851041747772946,0.0,38702,0.26221752166748047,6.130649089813232,ok,39132,38702,0.9890115506490852,-0.05449520740774237,0.46388569708511107,20000,0.7815168990437258,13699,0.1296483395415669,6928,0.6864877864048695
30,000178,39028,l2_scale,0.19851041747772946,0.0,38615,0.26735541224479675,6.1486592292785645,ok,39028,38615,0.989417853848519,-0.05449520740774237,0.46388569708511107,20000,0.7758735811261963,13479,0.12499207655096152,7138,0.6847114573959314
31,000179,38686,l2_scale,0.19851041747772946,0.0,38292,0.27257660031318665,6.247963905334473,ok,38686,38292,0.9898154371090316,-0.05449520740774237,0.46388569708511107,20000,0.7699153778815291,13708,0.13299758804157777,7010,0.6740356629570458
32,000180,38351,l2_scale,0.19851041747772946,0.0,37810,0.27174806594848633,6.2209038734436035,ok,38351,37810,0.9858934577977106,-0.05449520740774237,0.46388569708511107,20000,0.7697917449815803,13301,0.14196146722236644,7415,0.6679134170767376
