frame_idx,frame_name,psnr,ssim,lpips
0,000996,19.54226303100586,0.6987560391426086,0.37806713581085205
1,001006,19.82111930847168,0.7179896831512451,0.3832164704799652
2,001016,19.275474548339844,0.6876859068870544,0.3861161768436432
3,001026,19.519134521484375,0.6876549124717712,0.3919827938079834
4,001036,19.61929702758789,0.6950583457946777,0.4071512520313263
5,001046,19.05923080444336,0.6854766011238098,0.42181116342544556
6,001056,18.829988479614258,0.7011458277702332,0.4133617579936981
7,001066,18.835472106933594,0.7032120823860168,0.4028046131134033
8,001076,19.022798538208008,0.7164247632026672,0.3992300033569336
9,001086,18.916656494140625,0.7194417119026184,0.39736640453338623
10,001096,18.835460662841797,0.7185458540916443,0.39315173029899597
11,001106,19.031112670898438,0.7239277362823486,0.39261117577552795
12,001116,19.155414581298828,0.725379467010498,0.3934556841850281
13,001126,19.908302307128906,0.689243495464325,0.4137442111968994
14,001136,19.318986892700195,0.6686590313911438,0.4236884117126465
15,001146,20.407564163208008,0.7026836276054382,0.4098004102706909
16,001156,20.11912727355957,0.713546633720398,0.41227394342422485
17,001166,20.22088623046875,0.7192797064781189,0.41091188788414
18,001176,19.43060302734375,0.6902149319648743,0.4245343506336212
19,001186,19.846240997314453,0.7157226204872131,0.4064755439758301
20,001196,20.699174880981445,0.7188910245895386,0.4109339118003845
21,001206,21.686948776245117,0.7197273969650269,0.4234686493873596
22,001216,20.737911224365234,0.6938531994819641,0.42954474687576294
23,001226,21.340078353881836,0.7161495685577393,0.42184919118881226
24,001236,21.329172134399414,0.7132259011268616,0.41647300124168396
25,001246,21.23747444152832,0.7162989974021912,0.4110967814922333
26,001256,20.857656478881836,0.7041100859642029,0.41196995973587036
27,001266,20.77666473388672,0.6893349289894104,0.41407957673072815
28,001276,20.637222290039062,0.6773014068603516,0.4178968071937561
29,001286,19.89339828491211,0.6769481897354126,0.418641597032547
30,001296,19.74411964416504,0.6651293039321899,0.41656944155693054
31,001306,20.808399200439453,0.6639063954353333,0.4160744845867157
32,001316,21.429235458374023,0.6744577288627625,0.4071200489997864
33,001326,20.944320678710938,0.693996012210846,0.4005425274372101
34,001336,20.44626808166504,0.6968744993209839,0.3968716859817505
35,001346,20.615497589111328,0.6685898900032043,0.41016897559165955
36,001356,20.80057716369629,0.7019214034080505,0.3975779712200165
37,001366,20.18604278564453,0.6845225095748901,0.39436039328575134
38,001376,19.423019409179688,0.655549943447113,0.4003539979457855
39,001386,19.334596633911133,0.6535142660140991,0.40494853258132935
40,001396,19.548259735107422,0.6540564894676208,0.39620980620384216
41,001406,19.03644371032715,0.6139786243438721,0.40996724367141724
42,001416,19.544151306152344,0.6296582818031311,0.40599071979522705
43,001426,19.367677688598633,0.5884363055229187,0.40549948811531067
44,001436,19.31245231628418,0.5640456080436707,0.4153572618961334
45,001446,18.458221435546875,0.5238643288612366,0.4494902491569519
46,001456,19.94515037536621,0.6095621585845947,0.4240723252296448
47,001466,18.39735221862793,0.6241562962532043,0.4231641888618469
48,001476,18.502365112304688,0.6415314674377441,0.4350910782814026
49,001486,18.25958824157715,0.6428203582763672,0.44336003065109253
