frame_idx,frame_name,gt_valid_pixels,alignment_mode,scale,shift,valid_pixels,abs_rel,d_rmse
0,000500,18176,l2_scale,0.19003645007875095,0.0,18176,0.14893373847007751,3.2225000858306885
1,000515,18054,l2_scale,0.19003645007875095,0.0,18054,0.14180271327495575,2.9620344638824463
2,000530,18276,l2_scale,0.19003645007875095,0.0,18276,0.12532876431941986,3.1789166927337646
3,000545,18079,l2_scale,0.19003645007875095,0.0,18079,0.10303453356027603,2.947558879852295
4,000560,17987,l2_scale,0.19003645007875095,0.0,17987,0.11494357138872147,3.271682024002075
5,000575,18117,l2_scale,0.19003645007875095,0.0,18117,0.12535646557807922,3.258545398712158
6,000590,18088,l2_scale,0.19003645007875095,0.0,18088,0.12264582514762878,2.97422456741333
7,000605,18281,l2_scale,0.19003645007875095,0.0,18281,0.14606374502182007,3.245479106903076
8,000620,17893,l2_scale,0.19003645007875095,0.0,17893,0.17051291465759277,3.1966171264648438
9,000635,18092,l2_scale,0.19003645007875095,0.0,18092,0.166355699300766,3.320802927017212
10,000650,17956,l2_scale,0.19003645007875095,0.0,17956,0.15070094168186188,2.9981801509857178
11,000665,18030,l2_scale,0.19003645007875095,0.0,18030,0.2112128585577011,3.5461413860321045
12,000680,17836,l2_scale,0.19003645007875095,0.0,17836,0.3701624870300293,2.7739248275756836
13,000695,17938,l2_scale,0.19003645007875095,0.0,17938,0.19843962788581848,3.4492125511169434
14,000710,18007,l2_scale,0.19003645007875095,0.0,18007,0.16558487713336945,2.759654998779297
15,000725,17901,l2_scale,0.19003645007875095,0.0,17901,0.15218736231327057,3.2474112510681152
16,000740,17948,l2_scale,0.19003645007875095,0.0,17948,0.17343229055404663,3.570786237716675
17,000755,17986,l2_scale,0.19003645007875095,0.0,17986,0.1461554318666458,2.9876794815063477
18,000770,18045,l2_scale,0.19003645007875095,0.0,18045,0.13579970598220825,2.773467540740967
19,000785,18030,l2_scale,0.19003645007875095,0.0,18030,0.16187186539173126,3.1104953289031982
20,000800,17975,l2_scale,0.19003645007875095,0.0,17975,0.18619534373283386,3.3408026695251465
21,000815,18205,l2_scale,0.19003645007875095,0.0,18205,0.204634428024292,3.8129563331604004
22,000830,18163,l2_scale,0.19003645007875095,0.0,18163,0.29546788334846497,4.825999736785889
23,000845,18109,l2_scale,0.19003645007875095,0.0,18109,0.31638866662979126,4.938788890838623
24,000860,18062,l2_scale,0.19003645007875095,0.0,18062,0.32012176513671875,5.257443904876709
25,000875,18215,l2_scale,0.19003645007875095,0.0,18215,0.22878122329711914,3.262402296066284
26,000890,18070,l2_scale,0.19003645007875095,0.0,18070,0.1724417805671692,3.3634865283966064
27,000905,18055,l2_scale,0.19003645007875095,0.0,18055,0.19169826805591583,4.5860185623168945
28,000920,18310,l2_scale,0.19003645007875095,0.0,18310,0.20334836840629578,4.495090961456299
29,000935,18095,l2_scale,0.19003645007875095,0.0,18095,0.18530888855457306,4.350722312927246
30,000950,18058,l2_scale,0.19003645007875095,0.0,18058,0.168509840965271,4.186038970947266
31,000965,18085,l2_scale,0.19003645007875095,0.0,18085,0.14812618494033813,3.7677018642425537
32,000980,18029,l2_scale,0.19003645007875095,0.0,18029,0.12758448719978333,3.0133206844329834
33,000995,17859,l2_scale,0.19003645007875095,0.0,17859,0.144594207406044,3.6743886470794678
34,001010,17935,l2_scale,0.19003645007875095,0.0,17935,0.11763198673725128,2.887420654296875
35,001025,17939,l2_scale,0.19003645007875095,0.0,17939,0.11446194350719452,2.7233221530914307
36,001040,17556,l2_scale,0.19003645007875095,0.0,17556,0.1564764827489853,3.459397315979004
37,001055,17592,l2_scale,0.19003645007875095,0.0,17592,0.14861652255058289,3.234614133834839
38,001070,17484,l2_scale,0.19003645007875095,0.0,17484,0.13532498478889465,3.2214746475219727
39,001085,17514,l2_scale,0.19003645007875095,0.0,17514,0.12235534191131592,2.698542833328247
40,001100,17677,l2_scale,0.19003645007875095,0.0,17677,0.19583956897258759,5.245023250579834
41,001115,17480,l2_scale,0.19003645007875095,0.0,17480,0.15942293405532837,4.5801472663879395
42,001130,17255,l2_scale,0.19003645007875095,0.0,17255,0.13060347735881805,3.487003803253174
43,001145,17484,l2_scale,0.19003645007875095,0.0,17484,0.19266599416732788,4.989996433258057
44,001160,17205,l2_scale,0.19003645007875095,0.0,17205,0.2077832818031311,5.434649467468262
45,001175,17010,l2_scale,0.19003645007875095,0.0,17010,0.24380680918693542,5.248496055603027
46,001190,17149,l2_scale,0.19003645007875095,0.0,17149,0.18954958021640778,4.037245273590088
47,001205,17069,l2_scale,0.19003645007875095,0.0,17069,0.21275366842746735,4.9856486320495605
48,001220,16805,l2_scale,0.19003645007875095,0.0,16805,0.2475009709596634,5.560964107513428
49,001235,16807,l2_scale,0.19003645007875095,0.0,16807,0.2391008734703064,5.224252223968506
50,001250,16773,l2_scale,0.19003645007875095,0.0,16733,0.2519477307796478,5.637003421783447
51,001265,16583,l2_scale,0.19003645007875095,0.0,16583,0.2818133234977722,6.217830657958984
52,001280,16594,l2_scale,0.19003645007875095,0.0,16594,0.17438384890556335,4.125738143920898
53,001295,16462,l2_scale,0.19003645007875095,0.0,16462,0.27312949299812317,5.493179798126221
54,001310,16330,l2_scale,0.19003645007875095,0.0,16311,0.23338563740253448,4.9074602127075195
55,001325,15731,l2_scale,0.19003645007875095,0.0,15630,0.3260399103164673,6.475252151489258
56,001340,16003,l2_scale,0.19003645007875095,0.0,15956,0.20199209451675415,4.678754806518555
57,001355,15672,l2_scale,0.19003645007875095,0.0,15583,0.26939642429351807,5.66932487487793
58,001370,16078,l2_scale,0.19003645007875095,0.0,16045,0.22389419376850128,4.967471599578857
