mode,status,scale,shift,abs_rel,d_rmse,valid_pixels,positive_ratio
median_scale,ok,0.2910674059811001,0.0,0.35526055097579956,6.0566325187683105,3703600,1.0
l2_scale,ok,0.2794212030920032,0.0,0.337629497051239,6.03251314163208,3703600,1.0
robust_scale,ok,0.26779647933052064,0.0,0.3247604966163635,6.052079677581787,3703600,1.0
robust_rel_scale,ok,0.2486810817157915,0.0,0.31613868474960327,6.177562713623047,3703600,1.0
