frame_idx,frame_name,gt_valid_pixels,alignment_mode,scale,shift,valid_pixels,abs_rel,d_rmse
0,000000,36960,l2_scale,0.2794212030920032,0.0,36931,0.31568947434425354,4.813825607299805
1,000003,36755,l2_scale,0.2794212030920032,0.0,36739,0.32332780957221985,5.180752277374268
2,000006,36427,l2_scale,0.2794212030920032,0.0,36411,0.32417619228363037,5.235828876495361
3,000009,36335,l2_scale,0.2794212030920032,0.0,36327,0.3062742352485657,5.000858783721924
4,000012,36747,l2_scale,0.2794212030920032,0.0,36736,0.340241938829422,5.299149513244629
5,000015,36701,l2_scale,0.2794212030920032,0.0,36697,0.37611380219459534,5.5688910484313965
6,000018,36007,l2_scale,0.2794212030920032,0.0,36007,0.3670090138912201,6.003626823425293
7,000021,35782,l2_scale,0.2794212030920032,0.0,35782,0.26160183548927307,4.9041008949279785
8,000024,35751,l2_scale,0.2794212030920032,0.0,35751,0.24996033310890198,5.286215782165527
9,000027,36004,l2_scale,0.2794212030920032,0.0,36004,0.2406320571899414,4.724053859710693
10,000030,36403,l2_scale,0.2794212030920032,0.0,36391,0.2773631513118744,6.40831184387207
11,000033,36205,l2_scale,0.2794212030920032,0.0,36205,0.2710292339324951,5.9030890464782715
12,000036,36246,l2_scale,0.2794212030920032,0.0,36246,0.28940722346305847,6.264824390411377
13,000039,36334,l2_scale,0.2794212030920032,0.0,36334,0.28158923983573914,6.226485729217529
14,000042,36121,l2_scale,0.2794212030920032,0.0,36120,0.27251648902893066,6.260095119476318
15,000045,36768,l2_scale,0.2794212030920032,0.0,36768,0.2718137800693512,6.183891773223877
16,000048,36640,l2_scale,0.2794212030920032,0.0,36635,0.27134081721305847,5.960460662841797
17,000051,36653,l2_scale,0.2794212030920032,0.0,36650,0.26104673743247986,6.137313365936279
18,000054,36759,l2_scale,0.2794212030920032,0.0,36759,0.2613281011581421,5.988861560821533
19,000057,36648,l2_scale,0.2794212030920032,0.0,36648,0.25534480810165405,6.069275379180908
20,000060,36802,l2_scale,0.2794212030920032,0.0,36802,0.2496035099029541,6.195344924926758
21,000063,36474,l2_scale,0.2794212030920032,0.0,36474,0.22882473468780518,5.939269542694092
22,000066,36862,l2_scale,0.2794212030920032,0.0,36862,0.22840610146522522,6.011745929718018
23,000069,37147,l2_scale,0.2794212030920032,0.0,37147,0.23900945484638214,6.085865020751953
24,000072,36920,l2_scale,0.2794212030920032,0.0,36920,0.25531822443008423,6.364082336425781
25,000075,36789,l2_scale,0.2794212030920032,0.0,36789,0.2632894515991211,6.441155910491943
26,000078,37325,l2_scale,0.2794212030920032,0.0,37325,0.2760569155216217,6.301040172576904
27,000081,37134,l2_scale,0.2794212030920032,0.0,37134,0.28044021129608154,6.121108055114746
28,000084,37028,l2_scale,0.2794212030920032,0.0,37028,0.2893817126750946,6.020750522613525
29,000087,36628,l2_scale,0.2794212030920032,0.0,36628,0.30132412910461426,6.485316276550293
30,000090,36657,l2_scale,0.2794212030920032,0.0,36657,0.3055461347103119,6.505298614501953
31,000093,36469,l2_scale,0.2794212030920032,0.0,36469,0.3014019727706909,6.446098327636719
32,000096,36327,l2_scale,0.2794212030920032,0.0,36327,0.2784273624420166,6.710239887237549
33,000099,36526,l2_scale,0.2794212030920032,0.0,36524,0.290906697511673,6.925693035125732
34,000102,36246,l2_scale,0.2794212030920032,0.0,36243,0.3137770891189575,7.031530857086182
35,000105,36310,l2_scale,0.2794212030920032,0.0,36310,0.32974186539649963,6.986048698425293
36,000108,35887,l2_scale,0.2794212030920032,0.0,35887,0.29967397451400757,6.813852310180664
37,000111,35990,l2_scale,0.2794212030920032,0.0,35990,0.30198970437049866,6.487851619720459
38,000114,35527,l2_scale,0.2794212030920032,0.0,35527,0.3043835163116455,6.336475849151611
39,000117,35475,l2_scale,0.2794212030920032,0.0,35475,0.2973661720752716,6.451968669891357
