mode,status,scale,shift,abs_rel,d_rmse,valid_pixels,positive_ratio
median_scale,ok,0.19018321270487618,0.0,0.317341685295105,2.6818814277648926,1956202,1.0
l2_scale,ok,0.14850641525490416,0.0,0.26598691940307617,2.32363224029541,1956202,1.0
robust_scale,ok,0.1573872383235051,0.0,0.2573373019695282,2.3406100273132324,1956202,1.0
robust_rel_scale,ok,0.1598903572118785,0.0,0.25685086846351624,2.3516829013824463,1956202,1.0
